sku_id,forecast_90d_units,avg_daily_forecast,max_daily_forecast
1015,673.3417,0.14963149,0.43580002
1025,673.2337,0.1496075,0.38329485
1024,672.8801,0.14952892,0.38329485
1016,672.3671,0.14941491,0.43580002
1010,672.34955,0.14941101,0.38331643
1012,672.22943,0.14938432,0.38396978
1011,671.954,0.1493231,0.38396978
1009,671.4849,0.14921887,0.38331643
1013,671.3715,0.14919367,0.38396978
1008,671.24854,0.14916635,0.38331643
1004,671.1728,0.1491495,0.38331643
1006,671.1457,0.14914349,0.38331643
1005,670.76404,0.14905867,0.38331643
1007,670.71967,0.14904882,0.38331643
1001,667.59,0.14835334,0.37723967
1003,649.6164,0.1443592,0.3689008
1002,649.46045,0.14432454,0.3689008
