discount_band,units_sold,revenue,gross_profit,avg_units,avg_revenue,records,gross_margin_pct
0%,1022142,47743233.1,15970381.88,2.390080905392134,111.63829467333863,427660,33.450566379845775
1-5%,5311,240556.19,72073.47,6.322619047619048,286.37641666666667,840,29.961178716706478
6-10%,180309,7653416.44,2005713.18,3.2859329725001367,139.4750868368779,54873,26.206769169351507
11-15%,244299,9656850.15,2093981.95,3.2376351781170483,127.97988430343511,75456,21.683902281532244
16-20%,73747,2711434.4,456411.22000000003,3.2227854739326136,118.49121181663243,22883,16.832832835638584
21-25%,113622,4009416.23,454137.92,3.2017019837691616,112.97949250450857,35488,11.326784098941006
26-30%,31270,1007855.65,48987.36000000001,3.1620993022550308,101.91684194559612,9889,4.860553195291409
31-35%,6423,187020.83,-4276.420000000001,3.1255474452554743,91.00770316301703,2055,-2.286600909641991
