,units_sold,revenue,avg_discount,cost_price,gross_profit,promotion_flag,month,day_of_week,is_weekend
units_sold,1.0,0.4017792690980314,0.2247646841057368,0.0016781841792549155,0.3240832526842119,0.3828299344506546,-0.19060803927430578,0.008982071329013526,0.009036557497045954
revenue,0.4017792690980314,1.0,0.019907989067613655,0.7859162844678518,0.9169795714184196,0.12580299244725104,-0.05960505960023972,0.0023634319716392977,0.0023775653024968656
avg_discount,0.2247646841057368,0.019907989067613655,1.0,0.0002599639582701944,-0.14508237642308858,0.5890944710974781,-0.3369166306134364,0.015564515036456299,0.01804721228212243
cost_price,0.0016781841792549155,0.7859162844678518,0.0002599639582701944,1.0,0.6895966727111492,0.0020734436061292305,-0.002106225296847412,0.00042900184022766455,-3.565687405723863e-05
gross_profit,0.3240832526842119,0.9169795714184196,-0.14508237642308858,0.6895966727111492,1.0,0.033145806131484136,-0.005779765213754914,-0.0003673712294360823,-0.0009259878068401182
promotion_flag,0.3828299344506546,0.12580299244725104,0.5890944710974781,0.0020734436061292305,0.033145806131484136,1.0,-0.4928138778228963,0.014744372093313965,0.014020192746399445
month,-0.19060803927430578,-0.05960505960023972,-0.3369166306134364,-0.002106225296847412,-0.005779765213754914,-0.4928138778228963,1.0,0.003766725474511946,0.003603102739339056
day_of_week,0.008982071329013526,0.0023634319716392977,0.015564515036456299,0.00042900184022766455,-0.0003673712294360823,0.014744372093313965,0.003766725474511946,1.0,0.8130895676137084
is_weekend,0.009036557497045954,0.0023775653024968656,0.01804721228212243,-3.565687405723863e-05,-0.0009259878068401182,0.014020192746399445,0.003603102739339056,0.8130895676137084,1.0
