rank,model,model_type,MAE,RMSE,MAPE,WAPE
1,LightGBM,Machine Learning,115.89330861808614,151.96605983912374,19.154810524217044,15.977937769037611
2,Random Forest,Machine Learning,120.54480495010976,157.72282892184617,19.927056122143224,16.619228623636456
3,XGBoost,Machine Learning,124.77716064453124,167.22635062617974,20.054566933479403,17.202733451244878
4,SARIMA,Statistical,348.2553500729308,386.73729308612695,65.1705218261347,48.01314569020185
5,ARIMA,Statistical,370.6365641384015,404.8246935139018,69.17689410042063,51.09879101172814
